"plot","code","species","spha","forest","aoi","loc","treated"
564000,"PSME","Douglas fir",20,"BLM","BLM","Lily gap phase 2","No"
564000,"QUKE","Black oak",40,"BLM","BLM","Lily gap phase 2","No"
570000,"PILA","Sugar pine",180,"BLM","BLM","Lily gap phase 2","No"
570000,"PSME","Douglas fir",100,"BLM","BLM","Lily gap phase 2","No"
570000,"QUCH","Canyon live oak",40,"BLM","BLM","Lily gap phase 2","No"
570000,"QUKE","Black oak",60,"BLM","BLM","Lily gap phase 2","No"
632000,"CADE","Incense cedar",80,"BLM","BLM","Bummerville","No"
632000,"PSME","Douglas fir",20,"BLM","BLM","Bummerville","No"
632000,"QUCH","Canyon live oak",60,"BLM","BLM","Bummerville","No"
634000,"CADE","Incense cedar",100,"BLM","BLM","Bummerville","No"
634000,"PSME","Douglas fir",20,"BLM","BLM","Bummerville","No"
634000,"QUKE","Black oak",180,"BLM","BLM","Bummerville","No"
636000,"CADE","Incense cedar",421,"BLM","BLM","Bummerville","No"
636000,"PILA","Sugar pine",20,"BLM","BLM","Bummerville","No"
636000,"QUCH","Canyon live oak",642,"BLM","BLM","Bummerville","No"
636000,"QUKE","Black oak",622,"BLM","BLM","Bummerville","No"
637000,"QUKE","Black oak",200,"BLM","BLM","Bummerville","No"
1090012,"ABCO","White fir",140,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090012,"CADE","Incense cedar",60,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090012,"PILA","Sugar pine",40,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090042,"ABCO","White fir",842,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090042,"CADE","Incense cedar",902,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090042,"PILA","Sugar pine",200,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
1090042,"QUKE","Black oak",80,"Stanislaus","Stanislaus - Mi-Wok","South Fork","No"
